Fecha_Captura,Ticker,Precio_Actual,Cierre anterior,Abrir,Oferta,Precio de compra,Rango diario,Intervalo de 52 semanas,Volumen,Prom. volumen,Capitalización de mercado (intradía),Beta (5 años al mes),Ratio precio/beneficio (TMTM),BPA (TTM):,Fecha de beneficios,Previsión de rentabilidad y dividendo,Fecha de exdividendo,Objetivo est 1a
2026-04-02 01:50:44,AAPL,"255,63","253,79","254,30","255,31 x 500","255,88 x 500","253,33 - 256,18","169,21 - 288,62",35.595.400,48.051.409,"3,757B","1,12","32,40","7,89",30 abr 2026,"1,04 (0,41%)",9 feb 2026,"295,07"
2026-04-02 01:50:53,TSLA,"381,26","371,75","378,77","381,11 x 500","380,83 x 200","374,08 - 383,14","214,25 - 498,83",55.816.862,61.654.581,"1,431B","1,93","353,02","1,08",21 abr 2026,--,--,"418,83"
2026-04-03 01:51:52,AAPL,"255,92","255,63","254,14","241,35 x 100","266,91 x 100","250,65 - 256,13","169,21 - 288,62",26.686.584,48.052.381,"3,761B","1,12","32,39","7,90",30 abr 2026,"1,04 (0,41%)",9 feb 2026,"295,07"
2026-04-03 01:52:01,TSLA,"360,59","381,26","364,03","360,15 x 100","360,56 x 800","359,03 - 370,26","214,25 - 498,83",82.532.959,61.215.768,"1,353B","1,93","333,88","1,08",22 abr 2026,--,--,"418,83"
2026-04-04 01:45:18,AAPL,"255,92","255,63","254,14","241,35 x 100","266,91 x 100","250,65 - 256,13","169,21 - 288,62",26.686.584,47.782.011,"3,761B","1,11","32,35","7,91",30 abr 2026,"1,04 (0,41%)",9 feb 2026,"295,07"
2026-04-04 01:45:27,TSLA,"360,59","381,26","364,03","360,15 x 100","360,56 x 800","359,03 - 370,26","214,25 - 498,83",82.532.959,61.570.237,"1,353B","1,91","333,88","1,08",22 abr 2026,--,--,"417,08"
2026-04-05 01:57:31,AAPL,"255,92","255,63","254,14","241,35 x 100","266,91 x 100","250,65 - 256,13","169,21 - 288,62",26.686.584,47.817.008,"3,761B","1,11","32,35","7,91",30 abr 2026,"1,04 (0,41%)",9 feb 2026,"295,07"
2026-04-05 01:57:40,TSLA,"360,59","381,26","364,03","360,15 x 100","360,56 x 800","359,03 - 370,26","214,25 - 498,83",82.532.959,61.570.237,"1,353B","1,91","333,88","1,08",22 abr 2026,--,--,"417,08"
2026-04-06 01:58:37,AAPL,"255,92","255,63","254,14","241,35 x 100","266,91 x 100","250,65 - 256,13","169,21 - 288,62",31.289.369,47.741.423,"3,761B","1,11","32,35","7,91",30 abr 2026,"1,04 (0,41%)",9 feb 2026,"295,07"
2026-04-06 01:58:46,TSLA,"360,59","381,26","364,03","360,15 x 100","360,56 x 800","359,03 - 370,26","214,25 - 498,83",83.031.226,61.005.335,"1,353B","1,91","333,88","1,08",22 abr 2026,--,--,"416,15"
2026-04-07 01:54:53,AAPL,"258,86","255,92","256,96","258,51 x 400","258,96 x 400","256,48 - 262,16","169,21 - 288,62",29.319.825,47.424.558,"3,805B","1,11","32,73","7,91",30 abr 2026,"1,04 (0,41%)",9 feb 2026,"295,07"
